OBJECTID,basic service facilities,business service facilities,administrative facilities and residence,medicine,old people's home
5214,1,0,0,0,1
6218,1,1,0,0,1
5023,0,0,0,0,1
5574,0,1,0,0,0
5610,1,0,0,0,0
5316,1,0,0,0,0
4290,0,0,0,0,1
6132,0,0,0,0,0
3465,1,0,0,0,0
5891,0,0,0,1,0
2844,1,0,0,0,0
86,0,1,1,0,1
5673,0,0,0,0,0
5795,0,0,0,0,0
4401,1,1,1,0,1
5514,0,0,0,0,0
2090,0,1,0,0,0
6001,1,1,0,0,0
4289,1,1,0,0,1
1395,0,0,0,0,1
4716,0,1,0,0,1
618,0,0,0,0,0
4492,0,1,0,0,1
6469,0,0,0,0,0
4719,1,1,0,0,1
5942,0,0,0,0,1
537,0,0,0,0,0
5852,0,0,0,0,0
3675,1,0,0,0,1
667,0,0,0,0,1
601,1,1,0,0,1
2254,0,0,0,0,0
6387,0,0,0,0,1
2048,0,0,0,0,1
5750,0,0,0,0,0
3568,1,0,0,0,1
6426,0,0,1,0,1
3079,1,0,0,0,0
2086,0,0,0,0,1
3794,1,0,1,0,0
5070,0,0,0,0,0
1459,1,0,0,0,0
2076,1,0,0,0,1
2521,1,0,0,0,1
6111,0,0,0,0,0
6266,0,0,0,0,1
1592,1,1,1,0,1
2478,0,1,0,0,0
4017,0,0,0,1,1
1277,0,0,0,1,1
6454,0,0,0,0,0
5479,0,0,0,0,0
4410,0,0,1,0,1
6457,0,0,0,0,1
3505,1,1,0,0,0
5049,0,0,0,0,0
2817,0,0,0,0,0
372,0,0,0,0,1
4413,0,0,0,0,0
1173,0,0,0,0,0
4855,0,0,0,1,1
5019,0,0,0,0,1
3628,0,0,0,0,0
3497,1,1,0,0,1
5975,0,0,0,1,1
2771,1,0,0,0,1
2630,0,0,0,0,0
3074,0,1,0,0,1
6173,0,0,1,0,1
4947,0,0,1,0,1
6361,0,0,0,0,0
1183,1,1,0,1,1
3910,0,0,0,0,1
4907,0,0,0,0,0
3861,0,0,0,0,0
2847,1,0,0,0,0
2177,0,0,0,0,0
3198,0,0,0,0,0
3540,0,0,0,0,0
3509,0,0,0,0,0
860,1,1,0,1,1
2088,0,0,0,0,0
1880,0,0,0,0,0
2743,0,0,0,0,0
3062,1,1,0,1,0
942,0,0,0,0,0
5420,0,0,0,0,0
392,0,0,0,0,0
2679,0,0,0,0,1
1440,0,1,1,0,1
2466,1,0,0,0,1
630,0,1,0,1,1
4925,1,0,0,0,0
6078,0,1,1,0,1
3032,0,0,0,0,0
4525,0,0,1,0,1
1534,0,0,0,0,1
6520,0,0,0,0,0
2977,0,0,0,0,1
4114,1,0,0,0,1
5307,0,0,0,0,0
3266,1,1,1,1,0
4415,0,0,0,0,0
1233,0,0,0,0,0
1464,0,0,0,0,1
3063,1,1,0,1,1
3531,0,0,0,0,0
6488,0,0,0,0,0
4089,0,0,0,0,0
5323,1,0,0,0,0
3169,1,1,1,0,1
1461,0,0,0,1,1
4443,0,0,0,1,0
1289,0,0,0,0,0
2368,1,0,0,0,1
4470,0,0,0,1,1
4643,0,0,1,0,1
1546,0,0,0,0,1
4533,0,0,0,0,1
1135,0,0,0,0,0
2961,1,0,0,1,0
1869,0,0,0,0,0
5758,0,0,0,0,1
4370,1,0,0,0,0
3723,1,0,0,0,0
5669,0,0,0,0,0
5834,0,0,0,0,1
1625,0,0,0,0,1
870,0,0,0,0,1
4270,1,1,0,0,1
3068,1,1,1,0,1
2115,0,1,1,1,1
3870,0,0,0,0,1
3812,1,1,0,0,1
6597,0,0,0,0,0
1028,0,0,0,0,1
3472,1,0,0,0,1
1325,0,0,0,0,0
4457,1,0,0,0,0
516,1,0,0,0,1
